Question,Answer
Who acted as Mary in the movie 'Sex Drive'?,Alice Greczyn
Who acted as Harlan in the movie 'Down in the Valley'?,Edward Norton
Who acted as Laura in the movie 'Birth'?,Alison Elliott
Who acted as Bill in the movie 'Fat Albert'?,Keith Robinson
Who acted as Carlos in the movie 'Batteries not Included'?,Michael Carmine
Who acted as Mark Kendall in the movie 'Once Bitten'?,Jim Carrey
Who acted as M in the movie 'Last Year at Marienbad'?,Sacha Pitoëff
Who acted as Maureen Coyle in the movie 'Psycho III'?,Diana Scarwid
Who acted as Tex Panthollow in the movie 'Charade'?,James Coburn
Who acted as Katie Coates in the movie 'Old Yeller'?,Dorothy McGuire
Who acted as Gen in the movie 'Street Fighter: The Legend of Chun-Li'?,Robin Shou
Who acted as Terri in the movie 'Friday the 13th Part 2'?,Kirsten Baker
Who acted as Molly in the movie 'Cyrus'?,Marisa Tomei
Who acted as Emily in the movie 'Step Up Revolution'?,Kathryn McCormick
Who acted as Teela in the movie 'Mythica: A Quest for Heroes'?,Nicola Posener
Who acted as Cha Tae-sik in the movie 'The Man from Nowhere'?,Won Bin
Who acted as Herself in the movie 'The Unbelievers'?,Ayaan Hirsi Ali
Who acted as Inspector Gadget / Robo Gadget / John Brown in the movie 'Inspector Gadget'?,Matthew Broderick
Who acted as George Osborne in the movie 'Vanity Fair'?,Jonathan Rhys Meyers
Who acted as Erik in the movie 'Parts Per Billion'?,Penn Badgley
Who acted as Hugh Lang in the movie 'Flight'?,Don Cheadle
Who acted as Gus in the movie 'Lifeboat'?,William Bendix
Who acted as Sergeant Lemon in the movie 'Starman'?,Tony Edwards
Who acted as Helen in the movie 'Eastern Promises'?,Sinéad Cusack
Who acted as Billy Wong in the movie 'The Protector'?,Jackie Chan
Who acted as Anthony Adams in the movie 'Bottle Rocket'?,Luke Wilson
Who acted as Cholo in the movie 'Paranormal Activity: The Marked Ones'?,David Fernandez Jr.
Who acted as Dr. Brian Higgins in the movie 'Mega Piranha'?,Jude Gerard Prest
Who acted as Avalow in the movie 'Zardoz'?,Sally Anne Newton
"Who acted as Shirley in the movie 'The Adventures of Priscilla, Queen of the Desert'?",June Marie Bennett
Who acted as Claude in the movie 'Along Came Polly'?,Hank Azaria
Who acted as Barbara in the movie 'The Visitor'?,Marian Seldes
Who acted as Nicky Cerone in the movie 'Easy Money'?,Joe Pesci
Who acted as Salud in the movie 'All the Way Boys'?,Bud Spencer
Who acted as Isabel Bigelow in the movie 'Bewitched'?,Nicole Kidman
Who acted as Bob Thompson in the movie 'The Little Vampire'?,Tommy Hinkley
Who acted as Kara in the movie 'Sleeping with Other People'?,Natasha Lyonne
Who acted as Fedor in the movie 'Black Dawn'?,Roman Varshavsky
Who acted as Ann Lake in the movie 'Bunny Lake Is Missing'?,Carol Lynley
Who acted as Rev. Arthur Dimmesdale in the movie 'The Scarlet Letter'?,Gary Oldman
Who acted as Hanne Lindberg in the movie 'Who Am I'?,Trine Dyrholm
Who acted as Fairy Queen / Marie in the movie 'Barbie of Swan Lake'?,Kathleen Barr
Who acted as Dr. Lynn Waldheim in the movie 'Raising Cain'?,Frances Sternhagen
Who acted as Kurt Sloane in the movie 'Kickboxer'?,Jean-Claude Van Damme
Who acted as Sylvie in the movie 'Dikkenek'?,Catherine Jacob
Who acted as Lonnie in the movie 'Due Date'?,Danny McBride
Who acted as Mrs. Mulch in the movie 'The Curse of the Were-Rabbit'?,Liz Smith
Who acted as Alex in the movie 'Backcountry'?,Jeff Roop
Who acted as Iris in the movie 'The Last Exorcism'?,Iris Bahr
Who acted as Charlie Kelmeckis in the movie 'The Perks of Being a Wallflower'?,Logan Lerman
Who acted as Bruce in the movie 'Personal Effects'?,David Lewis
Who acted as Cyrus Bills in the movie 'The Mothman Prophecies'?,Bob Tracey
Who acted as Bob Harper in the movie 'P2'?,Simon Reynolds
Who acted as Becker in the movie 'National Lampoon's Loaded Weapon 1'?,Jon Lovitz
Who acted as Judge Henry T. Fleming in the movie '...And Justice for All'?,John Forsythe
Who acted as The Killer/Doofy Gilmore in the movie 'Scary Movie'?,Dave Sheridan
Who acted as  in the movie 'D-Tox'?,Kris Kristofferson
Who acted as Preacher Broyles in the movie 'Firecreek'?,Ed Begley
Who acted as Erwin Weaver in the movie 'The Thomas Crown Affair'?,Jack Weston
Who acted as Alex / Chad Wagner in the movie 'Double Impact'?,Jean-Claude Van Damme
Who acted as Alistair Hennessey in the movie 'The Life Aquatic with Steve Zissou'?,Jeff Goldblum
Who acted as Space Girl in the movie 'Lifeforce'?,Mathilda May
Who acted as Dolly Thatcham in the movie 'Cheerful Weather for the Wedding'?,Felicity Jones
Who acted as Officer Oakes in the movie 'Bad Company'?,Anthony Hopkins
Who acted as Splat Girl in the movie 'Feast II: Sloppy Seconds'?,Cassie Shea Watson
Who acted as Restaurant waiter in the movie 'Shaolin Wooden Men'?,Chiang Kam
Who acted as Jack in the movie 'Lord of the Flies'?,Tom Chapin
Who acted as Hannie Caulder in the movie 'Hannie Caulder'?,Raquel Welch
Who acted as Token Black in the movie 'South Park: Imaginationland'?,Adrien Beard
Who acted as Margo in the movie 'What Maisie Knew'?,Joanna Vanderham
Who acted as Tommy Baxter in the movie 'Breakout'?,Dominic Purcell
Who acted as Mary Proudfoot in the movie 'Son of Rambow'?,Jessica Hynes
Who acted as Chen Lin-Hu in the movie 'Man of Tai Chi'?,Tiger Hu Chen
Who acted as Craig in the movie 'The Guest'?,Joel David Moore
Who acted as Beale in the movie 'What Maisie Knew'?,Steve Coogan
Who acted as Mi-Hee in the movie 'A Tale of Two Sisters'?,Lee Seung-Bi
Who acted as Himself - NRA President in the movie 'Bowling for Columbine'?,Charlton Heston
Who acted as Bob in the movie 'What the #$*! Do We (K)now!?'?,Robert Blanche
Who acted as Ian Grayson in the movie 'Stealing Beauty'?,Donal McCann
Who acted as Matze in the movie 'A Coffee in Berlin'?,Marc Hosemann
Who acted as Emily Livingston in the movie 'Airport '77'?,Olivia de Havilland
Who acted as Peter Paker in the movie 'Fuck You Goethe'?,Jonas Holdenrieder
Who acted as Charles in the movie 'I Kissed a Girl'?,Franck Gastambide
Who acted as Jacob in the movie 'Hot Tub Time Machine 2'?,Clark Duke
Who acted as Gloria in the movie 'Bride of Re-Animator'?,Kathleen Kinmont
Who acted as Wayne in the movie 'Where the Money is'?,Dermot Mulroney
Who acted as Kenny in the movie 'Mr. Mom'?,Taliesin Jaffe
"Who acted as Keziah in the movie 'I, Frankenstein'?",Caitlin Stasey
Who acted as Dave Stutler in the movie 'The Sorcerer's Apprentice'?,Jay Baruchel
Who acted as Wolfgang in the movie 'Dylan Dog: Dead of Night'?,Kurt Angle
Who acted as Greg Janello in the movie 'Bounce'?,Tony Goldwyn
Who acted as Else in the movie 'Brothers'?,Solbjørg Højfeldt
Who acted as Cmdr. Hikaru Sulu in the movie 'Star Trek II: The Wrath of Khan'?,George Takei
Who acted as Peter Taltavul in the movie 'Killing Lincoln'?,Regen Wilson
Who acted as Prince Nikitin in the movie 'Onegin'?,Martin Donovan
Who acted as Bonnie in the movie 'Maggie'?,Rachel Whitman Groves
Who acted as Maureen Thompson in the movie 'A Long Way Down'?,Toni Collette
Who acted as Mark Walsh in the movie 'Triage'?,Colin Farrell
Who acted as Devil in the movie 'Operation: Endgame'?,Jeffrey Tambor
Who acted as Emerson in the movie 'The Numbers Station'?,John Cusack
"Who acted as Charlie in the movie 'For a Good Time, Call...'?",James Wolk
Who acted as Fiona in the movie 'Away from Her'?,Julie Christie
Who acted as Yuri in the movie 'The Pink Panther'?,Henry Czerny
Who acted as Matt Weston in the movie 'Safe House'?,Ryan Reynolds
Who acted as Pierre Tanguy in the movie 'Evil'?,Henrik Lundström
Who acted as Jennifer in the movie 'Suicide Kings'?,Nina Siemaszko
Who acted as Cooper in the movie 'Event Horizon'?,Richard T. Jones
Who acted as Victor Sagat in the movie 'Street Fighter'?,Wes Studi
Who acted as Himself in the movie 'Space Jam'?,Michael Jordan
Who acted as Devon Butler in the movie 'Cop and ½'?,Norman D. Golden II
Who acted as Marcus in the movie 'Dylan Dog: Dead of Night'?,Sam Huntington
Who acted as Jackie in the movie 'The Slumber Party Massacre'?,Andree Honore
Who acted as Evangeline in the movie 'Nanny McPhee'?,Kelly Macdonald
Who acted as Jack Sutter in the movie 'Dead in Tombstone'?,Richard Dillane
Who acted as Johnny Storm in the movie 'The Fantastic Four'?,Jay Underwood
Who acted as Klaus Diesterweg in the movie 'Clouds of Sils Maria'?,Lars Eidinger
Who acted as Tom House in the movie 'Million Dollar Arm'?,Bill Paxton
Who acted as Yang Dren in the movie 'Splice'?,Abigail Chu
Who acted as Taylor Reese in the movie 'Knockaround Guys'?,Vin Diesel
Who acted as Laura in the movie 'Playing with Love'?,Lara Wendel
Who acted as Grace /  Cordelia Winthrop Scott in the movie 'Monte Carlo'?,Selena Gomez
Who acted as Bingo Caller in the movie 'One Night at McCool's'?,Mary Jo Smith
Who acted as Mike Alonzo in the movie 'Harsh Times'?,Freddy Rodríguez
Who acted as Gwen in the movie 'Spare Parts'?,Marisa Tomei
Who acted as Leon Hundertwasser in the movie 'Simon'?,Max Wright
Who acted as Peters in the movie 'The Spy Who Came in from the Cold'?,Sam Wanamaker
Who acted as Bates in the movie 'Into the Blue'?,Josh Brolin
Who acted as Andrei in the movie 'The Way Back'?,Dejan Angelov
Who acted as Logie in the movie 'Enigma'?,Tom Hollander
Who acted as Pimm in the movie 'Barbie in the Nutcracker'?,Peter Kelamis
Who acted as Fly in the movie 'Help! I'm A Fish'?,Jeff Pace
Who acted as Maude Larrabee in the movie 'Sabrina'?,Nancy Marchand
Who acted as Dylan Rhodes in the movie 'Now You See Me'?,Mark Ruffalo
Who acted as Andrew Wallace in the movie 'The Thomas Crown Affair'?,Ben Gazzara
Who acted as Trish in the movie 'Dream House'?,Taylor Geare
Who acted as Donahue in the movie 'Blow Out'?,Curt May
Who acted as Darvell in the movie 'Byzantium'?,Sam Riley
Who acted as Robin Gaddis in the movie 'Heaven's Prisoners'?,Mary Stuart Masterson
Who acted as Danika Merrick in the movie 'Danika'?,Marisa Tomei
Who acted as Seminarist in the movie 'Un chien andalou'?,Marval
Who acted as Sydney Briar in the movie 'Pontypool'?,Lisa Houle
Who acted as Violet in the movie 'The Secret Life of Bees'?,Sharon Conley
Who acted as Carol Burdon in the movie 'House of Sand and Fog'?,Kim Dickens
Who acted as Dewey Riley in the movie 'Scream 3'?,David Arquette
Who acted as Jonathan Dade in the movie 'Static'?,Milo Ventimiglia
Who acted as Tamara Barclay in the movie 'The Hard Corps'?,Vivica A. Fox
Who acted as Alice Serteaux in the movie 'Switch'?,Niseema Theillaud
Who acted as Groupie in the movie 'Phantom of the Paradise'?,Jennifer Ashley
Who acted as Ruth in the movie 'Dante's Peak'?,Elizabeth Hoffman
Who acted as Joyce Kernan in the movie 'Resurrecting the Champ'?,Kathryn Morris
Who acted as Herself in the movie 'The Captains'?,Kate Mulgrew
Who acted as John Tucker in the movie 'John Tucker Must Die'?,Jesse Metcalfe
Who acted as Richard Burton in the movie 'Burton and Taylor'?,Dominic West
Who acted as Katherine in the movie 'The Numbers Station'?,Malin Åkerman
Who acted as Amedeo Modigliani in the movie 'Modigliani'?,Andy García
Who acted as Dr. Betty Shabazz in the movie 'Panther'?,Angela Bassett
Who acted as Daniels in the movie 'Black Sea'?,Scoot McNairy
Who acted as Miss Jiang in the movie 'City of Life and Death'?,Gao Yuanyuan
Who acted as Tai in the movie 'Clueless'?,Brittany Murphy
Who acted as Ah Ping in the movie 'In the Mood for Love'?,Siu Ping-Lam
Who acted as Mrs. Thatcham in the movie 'Cheerful Weather for the Wedding'?,Elizabeth McGovern
Who acted as Lee in the movie 'Black Water'?,Maeve Dermody
Who acted as Valerie Rosales in the movie 'The Prophecy II'?,Jennifer Beals
Who acted as Darren Shan in the movie 'Cirque du Freak: The Vampire's Assistant'?,Chris Massoglia
Who acted as Pepe in the movie '20 Million Miles to Earth'?,Bart Braverman
Who acted as Adam Gibson in the movie 'The 6th Day'?,Arnold Schwarzenegger
Who acted as Ed in the movie 'Shaun of the Dead'?,Nick Frost
Who acted as William in the movie 'Can't Hardly Wait'?,Charlie Korsmo
Who acted as Ted in the movie 'Love Is Strange'?,Cheyenne Jackson
Who acted as Sophia in the movie 'Cold Comes the Night'?,Ursula Parker
Who acted as Oliver Hartwin in the movie 'Grimm Love'?,Thomas Kretschmann
Who acted as Ann August in the movie 'Anywhere But Here'?,Natalie Portman
Who acted as Fiamma Coronna in the movie 'Cracks'?,María Valverde
Who acted as Virgil Starkwell in the movie 'Take the Money and Run'?,Woody Allen
Who acted as Gina in the movie 'The Damned'?,Carolina Guerra
Who acted as Justin in the movie 'Event Horizon'?,Jack Noseworthy
Who acted as Greta in the movie 'High Art'?,Patricia Clarkson
Who acted as Mitch Bradley in the movie 'An Unfinished Life'?,Morgan Freeman
Who acted as English Bob in the movie 'Unforgiven'?,Richard Harris
Who acted as The Wizard of Oz/Droopy/Butch in the movie 'Tom and Jerry & The Wizard of Oz'?,Joe Alaskey
Who acted as Bürgermeister von Grasse in the movie 'Perfume: The Story of a Murderer'?,Simon Chandler
Who acted as Zachary Stein in the movie 'Keeping Up with the Steins'?,Carter Jenkins
Who acted as Scott Turner in the movie 'Turner & Hooch'?,Tom Hanks
Who acted as Mrs. Austen in the movie 'Becoming Jane'?,Julie Walters
Who acted as William Montrose in the movie 'The Sentinel'?,Martin Donovan
Who acted as Neil in the movie 'Rogue'?,Sam Worthington
Who acted as Cecilia in the movie 'What Maisie Knew'?,Diana García
Who acted as Adult Bo in the movie 'Off the Map'?,Amy Brenneman
Who acted as Ernest in the movie 'Babysitting'?,Vincent Desagnat
Who acted as Farmer in the movie 'In the Name of the King: A Dungeon Siege Tale'?,Jason Statham
Who acted as Paula in the movie 'Failure to Launch'?,Sarah Jessica Parker
Who acted as Dr. Levy in the movie 'Dressed to Kill'?,David Margulies
Who acted as Edwina in the movie 'The Beguiled'?,Elizabeth Hartman
Who acted as Steve Mills in the movie 'Marilyn Hotchkiss' Ballroom Dancing & Charm School'?,John Goodman
Who acted as Old Thomas Nickerson in the movie 'In the Heart of the Sea'?,Brendan Gleeson
Who acted as Tom Stevens in the movie 'The Day the Earth Stood Still'?,Hugh Marlowe
Who acted as Leeanne Magruder in the movie 'The Gingerbread Man'?,Famke Janssen
Who acted as Richard in the movie 'The Love Punch'?,Pierce Brosnan
Who acted as Tien in the movie 'Ong Bak 3'?,Tony Jaa
Who acted as Dr. Robert Doback in the movie 'Step Brothers'?,Richard Jenkins
Who acted as Alan in the movie 'Carnage'?,Christoph Waltz
"Who acted as Himself - Tyson Grower in the movie 'Food, Inc.'?",Vince Edwards
Who acted as Lisa in the movie 'Zathura: A Space Adventure'?,Kristen Stewart
Who acted as Alison in the movie 'About Last Night'?,Paula Patton
Who acted as The Younger Brother in the movie 'The Lover'?,Melvil Poupaud
Who acted as Mort in the movie 'Ruby Sparks'?,Antonio Banderas
Who acted as Juan Lacas in the movie 'The Substitute'?,Marc Anthony
Who acted as Vaughn Stickles in the movie 'A Dirty Shame'?,Chris Isaak
Who acted as Luke in the movie 'White Fang'?,Bill Moseley
Who acted as Boss Paul in the movie 'Cool Hand Luke'?,Luke Askew
Who acted as Fiedler in the movie 'The Spy Who Came in from the Cold'?,Oskar Werner
Who acted as Devereaux in the movie 'The French Connection'?,Frédéric de Pasquale
Who acted as Professor Bedlam in the movie 'My Super Ex-Girlfriend'?,Eddie Izzard
Who acted as John Worthington Foulfellow in the movie 'Pinocchio'?,Walter Catlett
Who acted as Cloudy in the movie '7 Dwarves: The Forest Is Not Enough'?,Boris Aljinovic
Who acted as Big Han in the movie 'Blood Alley'?,Mike Mazurki
Who acted as Marko in the movie 'A Serbian Film'?,Slobodan Beštić
Who acted as Jake Hopper in the movie 'Belly of the Beast'?,Steven Seagal
Who acted as Tom Bishop in the movie 'Spy Game'?,Brad Pitt
Who acted as Olaf Andersen in the movie 'The Distinguished Gentleman'?,Joe Don Baker
Who acted as Neal Burns in the movie 'A River Runs Through It'?,Stephen Shellen
Who acted as Mia in the movie 'A Few Best Men'?,Laura Brent
Who acted as Whitney in the movie 'Hostel: Part II'?,Bijou Phillips
Who acted as Fetcher in the movie 'Chicken Run'?,Phil Daniels
Who acted as  in the movie 'The Woman Next Door'?,Véronique Silver
Who acted as Balthazar Blake in the movie 'The Sorcerer's Apprentice'?,Nicolas Cage
Who acted as Tommy Ross in the movie 'Carrie'?,Tobias Mehler
Who acted as Earl Hurley in the movie 'The Motel Life'?,Kris Kristofferson
Who acted as  in the movie 'Taste of Cherry'?,Ahmad Ansari
Who acted as Natacha in the movie 'Dikkenek'?,Mélanie Laurent
Who acted as Brusi in the movie '101 Reykjavik'?,Þröstur Leó Gunnarsson
Who acted as Norby in the movie 'Baby's Day Out'?,Joe Pantoliano
Who acted as Major Valentina Koslova in the movie 'The Jackal'?,Diane Venora
Who acted as Gabriel in the movie 'The Prophecy'?,Christopher Walken
Who acted as Jenko in the movie '21 Jump Street'?,Channing Tatum
Who acted as Liz Earl in the movie 'Fierce People'?,Diane Lane
Who acted as Mrs. Brody in the movie 'Cats & Dogs'?,Elizabeth Perkins
Who acted as Борщов Афанасий Николаевич in the movie 'Afonya'?,Leonid Kuravlyov
"Who acted as Francesco in the movie 'Rome, Open City'?",Francesco Grandjacquet
Who acted as Dave Hatcher in the movie 'Revenge of the Ninja'?,Keith Vitali
Who acted as Dog Caster in the movie 'All Dogs Go to Heaven'?,Daryl Gilley
Who acted as Eliane Devries in the movie 'Indochine'?,Catherine Deneuve
Who acted as Mrs. Roosevelt in the movie 'The Arrival'?,Phyllis Applegate
Who acted as Roland Cassard in the movie 'The Umbrellas of Cherbourg'?,Marc Michel
Who acted as Narrator in the movie 'Earth'?,Patrick Stewart
Who acted as Robbie in the movie 'I'm Not There.'?,Heath Ledger
Who acted as Gail Dwyer in the movie 'Nine Months'?,Joan Cusack
Who acted as Molly Conway in the movie 'Gone'?,Emily Wickersham
Who acted as Greg Focker in the movie 'Little Fockers'?,Ben Stiller
Who acted as Semmi / Extremely Ugly Girl / Morris / Reverend Brown in the movie 'Coming to America'?,Arsenio Hall
Who acted as Sir Frederic Taylor in the movie '5 Fingers'?,Walter Hampden
Who acted as Mr. Sakamoto in the movie 'Gung Ho'?,Sô Yamamura
Who acted as Himself in the movie 'Touching the Void'?,Joe Simpson
Who acted as Frank McGuire in the movie 'Sanctum'?,Richard Roxburgh
Who acted as Ann in the movie 'Funny Games'?,Naomi Watts
Who acted as Hope in the movie 'She's the One'?,Maxine Bahns
Who acted as Segundo Nuñez in the movie 'Nacho Libre'?,Carlos Maycotte
"Who acted as Raoul, Vicomte de Chagny in the movie 'The Phantom of the Opera'?",Patrick Wilson
Who acted as Pigoil in the movie 'Paris 36'?,Gérard Jugnot
Who acted as Ricki in the movie 'Gigli'?,Jennifer Lopez
Who acted as Helen Benson in the movie 'The Day the Earth Stood Still'?,Patricia Neal
Who acted as Ross Rhea in the movie 'Goon'?,Liev Schreiber
Who acted as Tinker Bell in the movie 'Peter Pan'?,Ludivine Sagnier
Who acted as Montgomery Scott in the movie 'Star Trek V: The Final Frontier'?,James Doohan
Who acted as Andy Barclay in the movie 'Child's Play 2'?,Alex Vincent
Who acted as Guillermo Kahlo in the movie 'Frida'?,Roger Rees
Who acted as Private Eriksson in the movie 'Casualties of War'?,Michael J. Fox
"Who acted as Terry Silver in the movie 'The Karate Kid, Part III'?",Thomas Ian Griffith
Who acted as Ikuei Sasaki in the movie 'Departures'?,Tsutomu Yamazaki
Who acted as President Mackenzie in the movie 'First Daughter'?,Michael Keaton
Who acted as Dan in the movie 'The Remaining'?,Bryan Dechart
Who acted as Joel Goodsen in the movie 'Risky Business'?,Tom Cruise
Who acted as Miss Jane Marple in the movie 'Murder at the Gallop'?,Margaret Rutherford
Who acted as Pvt. Fred Canfield in the movie 'The Inglorious Bastards'?,Fred Williamson
Who acted as Carole in the movie 'Better Than Sex'?,Imelda Corcoran
Who acted as Lenny Cole in the movie 'RockNRolla'?,Tom Wilkinson
Who acted as Harold - Blue Team Leader in the movie 'Midnight Madness'?,Stephen Furst
Who acted as Sophie Malaterre in the movie 'Switch'?,Karine Vanasse
Who acted as Abner Lundbert in the movie 'Alone in the Dark 2'?,Lance Henriksen
Who acted as John Moon in the movie 'A Single Shot'?,Sam Rockwell
Who acted as Dr. Imhaus in the movie 'Spies Like Us'?,Terry Gilliam
Who acted as Eleanor Zissou in the movie 'The Life Aquatic with Steve Zissou'?,Anjelica Huston
Who acted as Louis Bukowski in the movie 'Year of the Dragon'?,Raymond J. Barry
Who acted as Lindy in the movie 'Limitless'?,Abbie Cornish
Who acted as Anne-Marie in the movie 'All Dogs Go to Heaven'?,Judith Barsi
Who acted as Malcolm / Big Momma in the movie 'Big Momma's House 2'?,Martin Lawrence
Who acted as Chris in the movie 'Lavalantula'?,Patrick Renna
Who acted as Leigh in the movie 'Assault on Precinct 13'?,Laurie Zimmer
Who acted as Alex Rider in the movie 'Stormbreaker'?,Alex Pettyfer
Who acted as Tatiana in the movie 'Make Your Move'?,Izabella Miko
Who acted as  in the movie 'Dragon Ball Z: Broly - Second Coming'?,Takeshi Kusao
Who acted as Ed Warren in the movie 'The Conjuring'?,Patrick Wilson
Who acted as Frank Dyson in the movie 'Einstein and Eddington'?,Richard McCabe
Who acted as Emmett Fitz-Hume in the movie 'Spies Like Us'?,Chevy Chase
Who acted as Alex Mackenzie in the movie 'The Thirty Nine Steps'?,Karen Dotrice
Who acted as S in the movie 'Deception'?,Michelle Williams
Who acted as Dr. Leonard McCoy in the movie 'Star Trek V: The Final Frontier'?,DeForest Kelley
Who acted as Albert in the movie 'Fun Size'?,Jackson Nicoll
Who acted as Ellie in the movie 'And Soon the Darkness'?,Odette Annable
Who acted as Empress in the movie 'Operation: Endgame'?,Ellen Barkin
Who acted as Kitty Prescott in the movie 'Prom'?,Faith Ford
Who acted as Coby in the movie 'Universal Soldier: Regeneration'?,Corey Johnson
Who acted as Marcello Clerici in the movie 'The Conformist'?,Jean-Louis Trintignant
Who acted as Denise in the movie 'P.S. I Love You'?,Lisa Kudrow
Who acted as Memo Paris in the movie 'The Natural'?,Kim Basinger
Who acted as Matt Hardin in the movie 'Jamie Marks Is Dead'?,Brett DelBuono
Who acted as János Valuska in the movie 'Werckmeister Harmonies'?,Lars Rudolph
Who acted as Sonny Montelli in the movie 'Amityville II: The Possession'?,Jack Magner
Who acted as Rosane in the movie 'Elite Squad'?,Maria Ribeiro
Who acted as Cathryn Richmond in the movie 'Do Not Disturb'?,Jennifer Tilly
Who acted as Frank Perry in the movie 'The Escapist'?,Brian Cox
Who acted as Kruger in the movie 'Elysium'?,Sharlto Copley
Who acted as Margarita Vargas in the movie 'Gloria'?,Lupe Garnica
Who acted as Bad Alien - Talec in the movie 'Dark Angel'?,Matthias Hues
Who acted as DeShawn in the movie 'The Punisher: Dirty Laundry'?,Karlin Walker
Who acted as Klaus Adler in the movie 'Iron Sky'?,Götz Otto
Who acted as Willy in the movie 'Lifeboat'?,Walter Slezak
Who acted as John in the movie 'The Burning Plain'?,John Corbett
Who acted as André Matias in the movie 'Elite Squad'?,André Ramiro
Who acted as Vincent Brazil in the movie 'Assassination Games'?,Jean-Claude Van Damme
Who acted as Harlan Dexter in the movie 'Kiss Kiss Bang Bang'?,Corbin Bernsen
Who acted as Monica Fayden in the movie '6 Bullets'?,Anna-Louise Plowman
Who acted as  in the movie 'Jodorowsky's Dune'?,Nicolas Winding Refn
Who acted as Lindsey Lewis in the movie 'Rapture-Palooza'?,Anna Kendrick
Who acted as Gorm in the movie 'Valhalla Rising'?,Jamie Sives
Who acted as Tara in the movie 'Shrooms'?,Lindsey Haun
Who acted as Berek in the movie 'Dungeons & Dragons: Wrath of the Dragon God'?,Mark Dymond
"Who acted as Carola in the movie 'Sex, Party and Lies'?",Ana de Armas
Who acted as Medic in the movie 'Volcano'?,Joshua Fardon
Who acted as Nicole Barlow in the movie 'The Pact'?,Agnes Bruckner
Who acted as Johnny Handsome in the movie 'Johnny Handsome'?,Mickey Rourke
Who acted as Son Gohan in the movie 'Dragon Ball Z: Broly - Second Coming'?,Masako Nozawa
Who acted as Harlan Ogilvy in the movie 'War of the Worlds'?,Tim Robbins
Who acted as Noro in the movie 'Rapa Nui'?,Jason Scott Lee
Who acted as Glazer in the movie 'The Burning'?,Larry Joshua
Who acted as Warner Huntington III in the movie 'Legally Blonde'?,Matthew Davis
Who acted as Lori Quaid in the movie 'Total Recall'?,Kate Beckinsale
Who acted as Joy in the movie 'Peaceful Warrior'?,Amy Smart
Who acted as Lady Gresham in the movie 'Becoming Jane'?,Maggie Smith
Who acted as Tyler Hawkins in the movie 'Remember Me'?,Robert Pattinson
Who acted as Natasha in the movie 'Zindagi Na Milegi Dobara'?,Kalki Koechlin
Who acted as Ken in the movie 'My Boss's Daughter'?,Jeffrey Tambor
Who acted as Sarah Stall in the movie 'A History of Violence'?,Heidi Hayes
Who acted as Mad Max Rockatansky in the movie 'Mad Max'?,Mel Gibson
Who acted as Elena Mendola /figlia di Elena in the movie 'Cinema Paradiso'?,Agnese Nano
Who acted as Gruber in the movie 'Sea of Love'?,Richard Jenkins
Who acted as Sarah Robertson in the movie 'Margin Call'?,Demi Moore
Who acted as Mr. McCauley in the movie 'Hateship Loveship'?,Nick Nolte
Who acted as Tyler Jamison in the movie 'The Visit'?,Ed Oxenbould
Who acted as Maddox in the movie 'RoboCop'?,Jackie Earle Haley
Who acted as Heather Vandergeld in the movie 'White Chicks'?,Jaime King
Who acted as Richard White in the movie 'Superman Returns'?,James Marsden
Who acted as Sheikh Muhammad in the movie 'Salmon Fishing in the Yemen'?,Amr Waked
Who acted as Himself in the movie 'An Inconvenient Truth'?,Al Gore
Who acted as Brett Campbell in the movie 'Suicide Kings'?,Jay Mohr
Who acted as London Busbee in the movie 'Little Boy'?,David Henrie
Who acted as Casca in the movie 'Berserk: The Golden Age Arc 1 - The Egg of the King'?,Toa Yukinari
Who acted as Brian Kessler in the movie 'Kalifornia'?,David Duchovny
Who acted as Cameo in the movie 'The City of Violence'?,Ahn Jae-mo
Who acted as Princess Parisa in the movie 'The 7th Voyage of Sinbad'?,Kathryn Grant
Who acted as George Lutz in the movie 'The Amityville Horror'?,Ryan Reynolds
Who acted as Lisa in the movie 'The Good Guy'?,Anna Chlumsky
Who acted as Danny Garoni in the movie 'The Protector'?,Danny Aiello
Who acted as Diane Barrows in the movie 'It Takes Two'?,Kirstie Alley
Who acted as Amy Bowen in the movie 'Poltergeist'?,Rosemarie DeWitt
Who acted as Duke of Devonshire in the movie 'The Duchess'?,Ralph Fiennes
Who acted as Ritchie in the movie 'Bewitched'?,Jason Schwartzman
Who acted as J.C. Wiatt in the movie 'Baby Boom'?,Diane Keaton
Who acted as Emma in the movie 'Universal Soldier: Day of Reckoning'?,Audrey P. Scott
Who acted as Prescott in the movie 'Home Alone 4'?,Erick Avari
Who acted as  in the movie 'The Blue Umbrella'?,Sarah Jaffe
Who acted as Det. Capt. John Book in the movie 'Witness'?,Harrison Ford
Who acted as Carnelle Scott in the movie 'Miss Firecracker'?,Holly Hunter
Who acted as Lorraine Basner in the movie 'Nothing in Common'?,Eva Marie Saint
Who acted as Sgt. Bill Tyne in the movie 'A Walk in the Sun'?,Dana Andrews
Who acted as Fiona in the movie 'Bitter Moon'?,Kristin Scott Thomas
Who acted as Le voisin in the movie 'One Wild Moment'?,Philippe Nahon
Who acted as Ana in the movie 'Liberal Arts'?,Elizabeth Reaser
Who acted as Elena de la Madriaga in the movie 'Two Rode Together'?,Linda Cristal
Who acted as Thunderbolt in the movie 'Thunderbolt and Lightfoot'?,Clint Eastwood
