Question,Answer,Wrong_Answer
Derrick would have to walk to the store around the block unlike Neil since _ lived closer to it. Who does the blank refer to in the sentence?,Neil,Derrick
Logan drove by Joseph's house on the way to the hospital and did not stop because _ was not expecting them to come over. Who does the blank refer to in the sentence?,Joseph,Logan
Katrina managed to stop smoking but Betty did not because _ was dedicated to it. Who does the blank refer to in the sentence?,Katrina,Betty
Elena had a passport while Patricia didn't because _ always loved travelling overseas and to other countries. Who does the blank refer to in the sentence?,Elena,Patricia
"Getting the materials for the building, the company could only get the steel and not the copper because the _ was expensive. What does the blank refer to in the sentence?",copper,steel
The meditation center replaced the wood on the floor with foam since the _ was uncomfortable for concentration. What does the blank refer to in the sentence?,wood,foam
Steven always ate a lot of French fries but Kenneth did not as _ really hated potatoes. Who does the blank refer to in the sentence?,Kenneth,Steven
"Brian was fascinated about things unlike Ryan, so an article on the mandolin had no appeal to _ . Who does the blank refer to in the sentence?",Ryan,Brian
"Their relationship soured in the country, but rejuvenated in the city, since the _ was such an invigorating atmosphere for them. What does the blank refer to in the sentence?",city,country
"We opted to paint over the wood in the bathroom, but left it natural in the kitchen, as the wood was just gorgeous in the _ . What does the blank refer to in the sentence?",kitchen,bathroom
"The dog had to run out into the field from the cage, because the _ was very exciting. What does the blank refer to in the sentence?",field,cage
"Brian was in charge of planning a cruise, when Joseph decided to not go.  _ was relieved he understood. Who does the blank refer to in the sentence?",Joseph,Brian
There was fog in the morning that cleared to bright sun. Tara was happy because she found the _ made driving difficult. What does the blank refer to in the sentence?,fog,sun
Seth set the iron down on the table but it flipped over because the _ was too heavy. What does the blank refer to in the sentence?,iron,table
Robert led the hiking expedition into the wilderness instead of Nelson because _ was an experienced guide. Who does the blank refer to in the sentence?,Robert,Nelson
"After closing the restaurant, Matthew counted the number of glasses instead of Logan. _ is bad at math. Who does the blank refer to in the sentence?",Logan,Matthew
Brian bet a lot of money on the sports while Leslie bet a small amount beacuse _ knew very little about sports. Who does the blank refer to in the sentence?,Leslie,Brian
Sarah asked Katrina to help them learn to play the guitar because _ was inexperienced. Who does the blank refer to in the sentence?,Sarah,Katrina
Cynthia is always wearing clean clothes but Betty sometimes wears dirty ones as _ is a messy person. Who does the blank refer to in the sentence?,Betty,Cynthia
"After their parents fell ill, Natalie gave them care while Victoria did not. _ was very reckless. Who does the blank refer to in the sentence?",Victoria,Natalie
Aaron covered their locker in posters of bands while Craig didn't because _ said they loved music. Who does the blank refer to in the sentence?,Aaron,Craig
Authorization to enter the government building was granted to Adam but not Kevin because _ had necessary credentials. Who does the blank refer to in the sentence?,Adam,Kevin
It was harder for Eric to keep a job than it was for William because _ was a better worker. Who does the blank refer to in the sentence?,William,Eric
"Rachel handed Carrie twenty dollars at the cash register, so _ could purchase the collar for the puppy. Who does the blank refer to in the sentence?",Rachel,Carrie
"Benjamin was always in back of Samuel, as _ walked with the walk turning into a slight run. Who does the blank refer to in the sentence?",Samuel,Benjamin
Kenneth taught his friend Ryan how to ask his crush on a date as _ frequently asks girls out. Who does the blank refer to in the sentence?,Kenneth,Ryan
"Margie wanted to prevent sunburns when she went to the beach, so she applied sunscreen from the tube directly onto the body until the _ was totally covered. What does the blank refer to in the sentence?",body,tube
Leslie want to hire Lawrence to wash their dog because _ was going on a long vacation. Who does the blank refer to in the sentence?,Leslie,Lawrence
Eric limped over to Samuel during a time out of a game to get water for _ cramps. Who does the blank refer to in the sentence?,Eric,Samuel
"Nelson brought a list of stomach symptoms he'd experienced to Randy, but _ forgot to bring them up. Who does the blank refer to in the sentence?",Nelson,Randy
Betty had yellowed teeth while Erin had perfectly teeth; _ offered her some whitening toothpaste. Who does the blank refer to in the sentence?,Erin,Betty
It took john five months to study french and three weeks to study English and he decided the _ is a difficult language. What does the blank refer to in the sentence?,french,English
We cannot find the cleaning rod dropped inside the pool because the _ is deep. What does the blank refer to in the sentence?,pool,rod
The man caught a bigger fish in the ocean than in the lake because the water was shallower in the _ . What does the blank refer to in the sentence?,lake,ocean
"Ben bought materials to create apple pie and chocolate pie. He chose to make the _ first, because he disliked fruit. What does the blank refer to in the sentence?",chocolate pie,apple pie
Hunter put on a thick blue sweater but Joel did not as _ was feeling cold. Who does the blank refer to in the sentence?,Hunter,Joel
Elena had a passport while Patricia didn't because _ always despised travelling overseas and to other countries. Who does the blank refer to in the sentence?,Patricia,Elena
"Preparing to clean his gun, Shelby checked the chamber for a bullet and found the _ to be absent, so he proceeded. What does the blank refer to in the sentence?",bullet,chamber
"Joel didn't realize that Brian wasn't allowed to eat pork for religious reasons, so _ couldn't eat the pork chop for dinner. Who does the blank refer to in the sentence?",Brian,Joel
"I hated the grub at his house a lot more than the food at Julie's house, because the _ was tasty. What does the blank refer to in the sentence?",food,grub
The dog ran away from Robert instead of Matthew because _ had a frisbee and a few treats in his hands. Who does the blank refer to in the sentence?,Matthew,Robert
"Katrina spilled bleach on her denim jacket and Jennifer did not, _ had a more clean jacket. Who does the blank refer to in the sentence?",Jennifer,Katrina
The farmer tried to put the milk in the jar but the _ was too large. What does the blank refer to in the sentence?,milk,jar
"Brett loved cheddar cheese and asked Ian to bring some, so _ ate all the cheese that was brought over. Who does the blank refer to in the sentence?",Brett,Ian
Making sure to not have any weeds in the garden was important to Victoria but not Elena because _ entertained a lot in the garden. Who does the blank refer to in the sentence?,Victoria,Elena
"Jen applied the decoupage to the surface of the chair, because she thought it made the _ look shiny. What does the blank refer to in the sentence?",chair,decoupage
Kyle brought a book for the bus ride because he found the _ to be boring. What does the blank refer to in the sentence?,bus,book
"My friends certificate was a lot easier than my degree, because the _ was a mini course. What does the blank refer to in the sentence?",certificate,degree
"James has lives now a domestic life, but he misses his single life because the _ life is boring. What does the blank refer to in the sentence?",domestic,single
"Everybody loved the vodka cocktail that Emily made at the party, while no one liked Erin's cocktail, because _ had no experience as a bar tender. Who does the blank refer to in the sentence?",Erin,Emily
"He liked putting gel in his hair more than spray, because the _ ended up making him feel nerdy. What does the blank refer to in the sentence?",spray,gel
"As a manager, Ben had to schedule meetings and lunches. He loved the _ because he was never hungry. What does the blank refer to in the sentence?",meetings,lunches
Leslie prefers to eat more natural food than Robert because _ cares about the animals and environment. Who does the blank refer to in the sentence?,Leslie,Robert
Addiction was a hard concept to grasp over dealing with anxiety since the _ was more complex. What does the blank refer to in the sentence?,addiction,anxiety
Logan listened to the teaching instructions of Kevin because _ was the teacher in the class. Who does the blank refer to in the sentence?,Kevin,Logan
Christopher always wanted to go learn how to sail a boat and asked Eric for lessons because _ had never sailed before. Who does the blank refer to in the sentence?,Christopher,Eric
"Jim was deciding whether to use a knife or a peeler to peel some ginger, and went with the _ because the knife was sharper. What does the blank refer to in the sentence?",knife,peeler
"Emily was the star of the show even though Elena was the intended star, because _ was that charismatic. Who does the blank refer to in the sentence?",Emily,Elena
The team did better running on the track than on the field because the _ had more friction. What does the blank refer to in the sentence?,track,field
Natalie wanted to cook Victoria a surprise meal for their birthday but _ tried to find out the secret. Who does the blank refer to in the sentence?,Victoria,Natalie
"All administrative functions were handled by the office rather than the computer, as the _ was reliable to do it right. What does the blank refer to in the sentence?",office,computer
"I enjoyed doing things with my group more than with the company, because the _ was lame. What does the blank refer to in the sentence?",company,group
The worker tried to store the tool in the box but the _ was too small. What does the blank refer to in the sentence?,box,tool
The battery on Samantha's laptop lasts longer than that of Patricia because _ battery is made with older technology. Who does the blank refer to in the sentence?,Patricia,Samantha
Elena has to be more careful in the sun than Angela does because _ doesn't have sensitive skin. Who does the blank refer to in the sentence?,Angela,Elena
"Megan loved serving Laura coffee every morning at the cafe, because _ was a natural helper. Who does the blank refer to in the sentence?",Megan,Laura
"Derrick blew up their balloon with their breath while Joel used a helium tank, and _ finished slower. Who does the blank refer to in the sentence?",Derrick,Joel
Jennifer was very bad at planning things as opposed to Tanya because _ was a spontaneous person. Who does the blank refer to in the sentence?,Jennifer,Tanya
"Craig didn't like having Jeffrey as a roommate, because _ never replaced the toilet paper in the bathroom. Who does the blank refer to in the sentence?",Jeffrey,Craig
It was easier for Nick to work in the workshop than Jason since _ was a carpenter. Who does the blank refer to in the sentence?,Nick,Jason
William's convertible outlasted Michael's convertible because _ was careful in his treatment of the car. Who does the blank refer to in the sentence?,William,Michael
"Products sold at the outlet made more money than those sold at the store , so the _ was a losing business. What does the blank refer to in the sentence?",store,outlet
She filed her nails but split two emery boards because the _ were so strong. What does the blank refer to in the sentence?,nails,emery boards
Tanya but not Felicia had to miss the party because _ did not have the flu and a fever. Who does the blank refer to in the sentence?,Felicia,Tanya
Ryan was more distant to the vet than Ian because _ had more dogs under their care. Who does the blank refer to in the sentence?,Ian,Ryan
Tom took an axe and a chainsaw with him to cut down a 50 year old oak tree. He used the _ and worked easily. What does the blank refer to in the sentence?,chainsaw,axe
The stomach was aching the whole day due to the quality of food eaten. The _  was bad. Who does the blank refer to in the sentence?,Food,Stomach
"While making Easter eggs, Kayla ate a bunch of the eggs while Jennifer didn't eat any. _ was full. Who does the blank refer to in the sentence?",Jennifer,Kayla
John poured the bag of cement into the small hole he dug until the _ was empty. What does the blank refer to in the sentence?,bag,hole
Andrew was trying to brush the matted hair on his dog but wasn't having much luck because the _ was too weak. What does the blank refer to in the sentence?,brush,matted hair
Amy can find the words quickly in the dictionary while Natalie took their time. _ was rather careful. Who does the blank refer to in the sentence?,Natalie,Amy
The brewery manager position was better suited for Eric than Joel because _ had limited knowledge of craft beer. Who does the blank refer to in the sentence?,Joel,Eric
"Jason has much better parallel parking skills than Derrick ever did, so _ hated to be valet. Who does the blank refer to in the sentence?",Derrick,Jason
Sarah had fewer ants in their house than Jennifer because _ left out food where the ants were. Who does the blank refer to in the sentence?,Jennifer,Sarah
"Jill's husband wanted to give her flowers or jewelry for their anniversary, but chose the _ because she likes to dress up. What does the blank refer to in the sentence?",jewelry,flowers
Lindsey provides tips when Kayla test some fruits for their ripeness because _ wants to learn from the expert of fruits. Who does the blank refer to in the sentence?,Kayla,Lindsey
"Brett traveled to many countries while Benjamin was insular, so _ was surprised by the existence of bonsai trees. Who does the blank refer to in the sentence?",Benjamin,Brett
"Eric was less squeamish then William, so _ cleaned up all the blood on the floor. Who does the blank refer to in the sentence?",Eric,William
The blade was not working in stripping the varnish off the table because the _ is too thick. What does the blank refer to in the sentence?,varnish,blade
"She tried to attach iron-on adhesive to her patch, but couldn't fill the whole backing because the _ was limited. What does the blank refer to in the sentence?",adhesive,patch
He dyed his mohawk a bright green color with the hair dye and then washed and used conditioner on it. The _ colored his hair. What does the blank refer to in the sentence?,dye,conditioner
"Erin needs parental supervision to do the experiment, but not Maria because _ is an adult. Who does the blank refer to in the sentence?",Maria,Erin
"The Mom of Betty has passed away, but Katrina's is still living, so _ is very grateful. Who does the blank refer to in the sentence?",Katrina,Betty
Lindsey had a very expensive golf driver but not Kayla because _ was apathetic about golf. Who does the blank refer to in the sentence?,Kayla,Lindsey
Steven yelled at Eric because _ was angry about the live audio being so loud. Who does the blank refer to in the sentence?,Steven,Eric
"Adam had chapped lips but Michael did not, so _ needed to buy some lip balm today. Who does the blank refer to in the sentence?",Adam,Michael
The students used the cards instead of the books to improve their memory of the subject because the _ were more relevant. What does the blank refer to in the sentence?,cards,books
"Kevin wanted to sleep on his new pillow so Lawrence had to stop playing loud music, making _ very angry. Who does the blank refer to in the sentence?",Lawrence,Kevin
"Kenneth took his time to become a certified teacher unlike Robert, because _ was uninterested in teaching. Who does the blank refer to in the sentence?",Robert,Kenneth
"All the power in the relationship was held by Carrie over Kayla , because _ was so dominant. Who does the blank refer to in the sentence?",Carrie,Kayla
"Samantha has an affinity for salt while Katrina does not, so _ dislikes licking the top of the martini glasses. Who does the blank refer to in the sentence?",Katrina,Samantha
"Bill wanted to replace all the carpet in his home to wood floors, because the _ was old. What does the blank refer to in the sentence?",carpet,wood
Sarah was able to get a car payment reduction without a refinanced loan unlike Kayla because _ had a worse credit score. Who does the blank refer to in the sentence?,Kayla,Sarah
"Amy was allergic to cats but Samantha was not, so _ was nervous to go to the new cat cafe. Who does the blank refer to in the sentence?",Amy,Samantha
"The woman took many photographs of the statue, but only 1 of the fountain, because the _ was common. What does the blank refer to in the sentence?",fountain,statue
Elena accidentally spilled her coconut oil all over Amy which made _ feel very angry. Who does the blank refer to in the sentence?,Amy,Elena
Mary worked hard to prevent weight gain whilst Emily did not because _ was conscientious. Who does the blank refer to in the sentence?,Mary,Emily
"The roast burned in the oven, so he tried the furnace instead, as the _ had uncontrollable heat. What does the blank refer to in the sentence?",oven,furnace
You can get a massage at the spa but not at the gym since the _ is open at that time. What does the blank refer to in the sentence?,spa,gym
Monica thought makeup was garish but Felicia though it was attractive. _ couldn't stand the look of the kabuki girls. Who does the blank refer to in the sentence?,Monica,Felicia
The statue would not fit in the temple door because the _ was too small. What does the blank refer to in the sentence?,door,statue
In world history class Nick was more interested in different cultures than Craig since _ was ignorant. Who does the blank refer to in the sentence?,Craig,Nick
The surgery on the brain took time more than the one on the muscle because the one on the _ was more complicated. What does the blank refer to in the sentence?,brain,muscle
Clara decided to boil vegetables on the stove instead of the microwave because the _ made the vegetables taste crunchier. What does the blank refer to in the sentence?,stove,microwave
"Age wasn't a factor when Sarah gave birth to Jennifer, because no matter what, _ would always be younger. Who does the blank refer to in the sentence?",Jennifer,Sarah
"Last Sunday, Rachel fed the horse of Cynthia in Kentucky because _ was in the area. Who does the blank refer to in the sentence?",Rachel,Cynthia
"The pigeons in the city bothered Maria, but not Samantha, because _ was a clean freak. Who does the blank refer to in the sentence?",Maria,Samantha
"The farmer tried to repair the worn down farm fence with new paint and wood, but the _ had termites. What does the blank refer to in the sentence?",wood,paint
"She climbed the tree in the rain, but not in the wind, because the _ was really strong. What does the blank refer to in the sentence?",wind,rain
Victoria uses more oil when frying chicken than Maria because _ doesn't care about cholesterol. Who does the blank refer to in the sentence?,Victoria,Maria
"Jessy decided to clean the floor but not the furniture, because the _ was dirty. What does the blank refer to in the sentence?",floor,furniture
"Joseph helped Ryan get their range of motion back after their injury, because _ was more flexible. Who does the blank refer to in the sentence?",Joseph,Ryan
Cynthia wanted a birdcage made of gold so they asked Erin to make it because _ worked on one to be built. Who does the blank refer to in the sentence?,Erin,Cynthia
"Logan had never fired a gun before, so Michael took him to a firing range; _ was nervous. Who does the blank refer to in the sentence?",Logan,Michael
"Justin thinks Adam is too old to sitting around playing video games, _ is a very mature person. Who does the blank refer to in the sentence?",Justin,Adam
Tanya asked Angela to be her stock broker because _ lacked good financial market experience. Who does the blank refer to in the sentence?,Tanya,Angela
"Lindsey places the balloon bunch strategically to hide the hole in Amy's dining room wall, and _ is glad to have a smart party planner. Who does the blank refer to in the sentence?",Amy,Lindsey
John complained about leg pain whenever he walk to the school but not when he walk to the church. It turns out the _ is close. What does the blank refer to in the sentence?,church,school
"The wheat needs less rain than the corn, so the _ grew well when the rain was abundant. What does the blank refer to in the sentence?",corn,wheat
"Randy avoided the chicken parmesan and a side salad, but Ryan ordered something else, because _ was on a vegetarian diet. Who does the blank refer to in the sentence?",Ryan,Randy
Ian squeezed Ryan's hand at the funeral in an effort to comfort him because _ was empathic. Who does the blank refer to in the sentence?,Ian,Ryan
Brett got along with their boss very well but not Eric because _ was a lackadaisical worker. Who does the blank refer to in the sentence?,Eric,Brett
"Erin showed Felicia how to set up their router, as _ had little knowledge of networks and networking. Who does the blank refer to in the sentence?",Felicia,Erin
A lawsuit was filed against Patricia by Erin because _ had their new car damaged. Who does the blank refer to in the sentence?,Erin,Patricia
Patricia goes to listen to Mary perform at the concert hall due to _ being a teenager. Who does the blank refer to in the sentence?,Patricia,Mary
"Mary decided to negotiate the price of the house but Natalie just accepted the first offer, since _ was a novice businessperson. Who does the blank refer to in the sentence?",Natalie,Mary
John poured the entire bowl of water into his bath tub until the _ was empty. What does the blank refer to in the sentence?,bowl,bath tub
Matthew confided to Hunter that he dumps bleach in his yard.  _ was outraged. Who does the blank refer to in the sentence?,Hunter,Matthew
"I saw the signs before I saw the posters, because the _ were put in a terrible spot. What does the blank refer to in the sentence?",posters,signs
Brett hated to wear socks and Ian did not because _ liked to let their feet breath. Who does the blank refer to in the sentence?,Brett,Ian
Adam asked Brian to teach them how to moonwalk since they knew _ had perfected it last year for a talent show. Who does the blank refer to in the sentence?,Brian,Adam
"It made a huge difference, so he used the bench instead of the seat, because the _ was easy on the back. What does the blank refer to in the sentence?",bench,seat
"He decided to forge a blade instead of buying a knife, because the _ would be a lot stronger and personal. What does the blank refer to in the sentence?",blade,knife
The software worked a lot better than the old program because the _ was made by professionals. What does the blank refer to in the sentence?,software,program
"Steven was not very popular in high school like Derrick, because _ was known as a loner. Who does the blank refer to in the sentence?",Steven,Derrick
I killed the mosquito with a swatter rather than my hand because I didn't care if the _ would stay dirty. What does the blank refer to in the sentence?,swatter,hand
We picked up surplus wood pallets for cheap. We wanted to re-purpose them as shelves or a tree house. The kids won and got the _ . What does the blank refer to in the sentence?,tree house,shelves
Joel asked Nelson for help with a paragraph for his paper as _ had wrote a book. Who does the blank refer to in the sentence?,Nelson,Joel
Mary chose to buy her friend chocolates over flowers for the Birthday. The _ were too expensive. What does the blank refer to in the sentence?,flowers,chocolates
"Amy planned to cook spaghetti for dinner and Katrina planned to cook london broil, _ was a carnivore. Who does the blank refer to in the sentence?",Katrina,Amy
"Derrick practices good organization at the office Brian is the manager of, _ is always looking for a higher position. Who does the blank refer to in the sentence?",Derrick,Brian
"Carrie's hair is silver, but Mary has brown hair because _ is a younger person. Who does the blank refer to in the sentence?",Mary,Carrie
"Jessica was more hungry than Elena, so _ ordered a steak instead of ramen noodles. Who does the blank refer to in the sentence?",Jessica,Elena
We placed a pad on the board and poured water on the pad but we found the water retained on the board. It means only the _ impermeable. What does the blank refer to in the sentence?,board,pad
"When the monkey flung poo at the crowd, Amy was quick to duck but not Tanya. _ didn't get poo on their clothes. Who does the blank refer to in the sentence?",Amy,Tanya
Laura enjoyed wearing a dress to work but not Rachel because _ was more androgynous. Who does the blank refer to in the sentence?,Rachel,Laura
"Christine tried to rest after breaking their toe, but Cynthia was unsympathetic. _ knew how much pain a broken toe was. Who does the blank refer to in the sentence?",Christine,Cynthia
Neil asked for Logan's chocolate ice cream milkshake even though _ is lactose intolerant and shouldn't drink it. Who does the blank refer to in the sentence?,Neil,Logan
"He stopped buying at the shop and starting going to the store instead, because the _ had fair prices. What does the blank refer to in the sentence?",store,shop
"Christine was trying to assist Maria with learning a new language, because _ couldn't speak it fluently. Who does the blank refer to in the sentence?",Maria,Christine
Tanya would always miss Samantha more than the latter would miss the former because _ was more aloof. Who does the blank refer to in the sentence?,Samantha,Tanya
"When Joel went to the gig at the bar without Lawrence, _ felt a little guilty about it. Who does the blank refer to in the sentence?",Joel,Lawrence
Jane packed her clothes from the dufflebag into the suitcase until the _ was empty. What does the blank refer to in the sentence?,dufflebag,suitcase
The puppy loved Katrina but avoided Patricia because _ was so kind to it all the time. Who does the blank refer to in the sentence?,Katrina,Patricia
Woolen scarf is better in cold weather than the cotton scarf because the _ is thin. What does the blank refer to in the sentence?,cotton scarf,woolen scarf
Tina preferred the motorized bicycle with the engine to the manual pedal bicycle because the _ went much slower. What does the blank refer to in the sentence?,pedal bicycle,motorized bicycle
"Jessica had a history of cancer in her family, while Cynthia had no cancer in her family, so _ was more likely to get the disease. Who does the blank refer to in the sentence?",Jessica,Cynthia
"Maria was perfectly happy being in a relationship with Tanya, but _ didn't want to stay together forever. Who does the blank refer to in the sentence?",Tanya,Maria
Donald was taking medication for pain but Christopher knew it was not because _ was injury free. Who does the blank refer to in the sentence?,Christopher,Donald
Felicia was neutering Lindsey's dog so _ took time to ask all their questions about the procedure. Who does the blank refer to in the sentence?,Lindsey,Felicia
"I bought bracelets and rings at the store but liked the rings better, because the _ were less beautiful. What does the blank refer to in the sentence?",bracelets,rings
The manager asked Jennifer but not Emily to write the daily specials because _ had poor handwriting. Who does the blank refer to in the sentence?,Emily,Jennifer
Christine went to yoga less than Monica because the yoga studio was farther from _ . Who does the blank refer to in the sentence?,Christine,Monica
"As he wondered around the room, Jim tried to overhear the conversation between his superiors, but the _ was too loud. What does the blank refer to in the sentence?",room,conversation
"The Bible is Natalie's favorite book, but Megan has never read it, so _ must be Christian. Who does the blank refer to in the sentence?",Natalie,Megan
"Toast was sold out at breakfast but not dinner, since _ was the most popular time of day to eat it. What does the blank refer to in the sentence?",breakfast,dinner
Jeffreys journal was lost in the fire before Steven could arrive to help put it out.  _ rushed there and watched it burn. Who does the blank refer to in the sentence?,Steven,Jeffrey
"On the cruise ship to Mexico, Matthew threw Dennis overboard because _ had become angry. Who does the blank refer to in the sentence?",Matthew,Dennis
James finished watching the movie while on a journey to his hometown. The _ is long. What does the blank refer to in the sentence?,journey,movie
"the toxic chemicals corroded the walls of the pipes rapidly , the _ were strong. What does the blank refer to in the sentence?",chemicals,walls
My mom always took the steps and not the elevators because the _ made her scared. What does the blank refer to in the sentence?,elevators,steps
The traveler tried to store his passport in his pocket but the _ was too small. What does the blank refer to in the sentence?,pocket,passport
Susan was making a cake for a party then realized she had flour but she didn't have milk. It was necessary to go to the store for the _ . What does the blank refer to in the sentence?,milk,flour
"On Christmas Eve, right before giving out gifts, Adam used glue instead of tape to wrap the gift because he could not find any the _ . What does the blank refer to in the sentence?",tape,glue
James liked Math and Physics but Ruth preferred Chemistry because James thought the _ was harder. Who does the blank refer to in the sentence?,Chemistry,Physics
Erin offered Patricia some pills while sleeping on the bunk bed because _ is sick. Who does the blank refer to in the sentence?,Patricia,Erin
The plant is stopping the sun from reaching the top of the roof because the _ is shorter. What does the blank refer to in the sentence?,roof,plant
Mary preferred to do cardio workouts instead of lifting weights because she was able to do the _ anywhere. What does the blank refer to in the sentence?,cardio workouts,weights
"Joel has recently bought a duck and doesn't know its sex so he asks Donald for help, because _ is duck expert. Who does the blank refer to in the sentence?",Donald,Joel
Rebecca has several pets but Rachel has none as _ is a huge animal lover. Who does the blank refer to in the sentence?,Rebecca,Rachel
"William loved the story Joel wrote, then _ left a great review on the book's website. Who does the blank refer to in the sentence?",William,Joel
"During her morning regimen, Shirley would apply moisture to her face but not makeup because the _ was natural. What does the blank refer to in the sentence?",moisture,makeup
The doctor tried to use the medicine on the snake bite but the _ was too poisonous. What does the blank refer to in the sentence?,bite,medicine
The screen got scratched when John was cleaning it with a cloth because the _ is rough. What does the blank refer to in the sentence?,cloth,screen
"Eric is new to using black seed oil and asks Randy for an advice, because _ is beginner. Who does the blank refer to in the sentence?",Eric,Randy
Jame could not get the stain off the tub even after soaking it the a bleach. The _ is weak. What does the blank refer to in the sentence?,bleach,stain
"The pancakes that I had yesterday were better than the muffins today, because the _ were fresher. What does the blank refer to in the sentence?",pancakes,muffins
Rachel found it easier to communicate with young children than Betty because _ did not have children of her own. Who does the blank refer to in the sentence?,Betty,Rachel
"On Sundays, Nelson tended to the soil in Justin 's garden because _ was his gardener. Who does the blank refer to in the sentence?",Nelson,Justin
"Her boyfriend gave her the scarf to wear but hid the hat, since he thought the _ looked prettier on her. What does the blank refer to in the sentence?",scarf,hat
The girl wiped off the lipstick but applied eyeshadow because her parents thought the _ was appropriate for church. What does the blank refer to in the sentence?,eyeshadow,lipstick
The agent determined Kenneth needed life insurance more than Dennis since _ was very reckless. Who does the blank refer to in the sentence?,Kenneth,Dennis
Mary recommended a brand new smart phone for Tanya because _ was unfamiliar with modern tech. Who does the blank refer to in the sentence?,Tanya,Mary
"Even though it traveled on target, the ball could not fit in the hole because the _ was too small. What does the blank refer to in the sentence?",hole,ball
The cat seemed to be aging faster than the dog. That's because the _ 's hair was brown still. What does the blank refer to in the sentence?,dog,cat
"Derrick had two hundred more followers on social media than Kenneth, so _ felt more popular. Who does the blank refer to in the sentence?",Derrick,Kenneth
"Steven was much more motivated compared to Kevin, _ never wanted to achive more in his life. Who does the blank refer to in the sentence?",Kevin,Steven
The health of the roses was better than the health of the tulips because the _ were taken care of. What does the blank refer to in the sentence?,roses,tulips
Jessica told Maria that she had an ear infection and therefore could not go skiing today.  _ was understanding. Who does the blank refer to in the sentence?,Maria,Jessica
"At Meg's audition, she read from a play, instead of singing from a musical. She must be more adept at reading from the _ . What does the blank refer to in the sentence?",play,musical
The garden had shorter plants than the yard had in it because the _ was fertilized. What does the blank refer to in the sentence?,yard,garden
"Kayla hires Betty to paint a room in the house, so it's more likely _ is the contractor. Who does the blank refer to in the sentence?",Betty,Kayla
Donald had many businesses compared to Brett because _ was an average and lazy person. Who does the blank refer to in the sentence?,Brett,Donald
The countertop was made using plastic instead of wood as the _ was quite unavailable. What does the blank refer to in the sentence?,wood,plastic
"Jason wanted Kenneth to start using organic products, because _ felt they were safer for the environment. Who does the blank refer to in the sentence?",Jason,Kenneth
"As a new employee, Victoria was at an entry level position, similar to Monica, so _ worked very hard to move her way up the ladder. Who does the blank refer to in the sentence?",Victoria,Monica
"Pretending with kids is a favorite hobby of Derrick, but Dennis hates it, so _ is more creative. Who does the blank refer to in the sentence?",Derrick,Dennis
The people were trying to get the bed thru the door. The _ was stuck in the door and would not move. What does the blank refer to in the sentence?,bed,door
Ian suddenly went pale in the face and started babbling to Hunter because _ asked him a question. Who does the blank refer to in the sentence?,Hunter,Ian
Kayla did not have a large backyard like Erin did because _ lived in a house. Who does the blank refer to in the sentence?,Erin,Kayla
Rebecca gave all her silk scarves to Christine when _ started caring about whether her ensemble matched. Who does the blank refer to in the sentence?,Christine,Rebecca
"The home was no longer habitable by humans after the heaters were added and the windows removed, as the _ made the place accommodating. What does the blank refer to in the sentence?",windows,heaters
"The voters could not embrace the new law, so they clung to the previous policy, since the _ was unbeneficial to them. What does the blank refer to in the sentence?",law,policy
Dennis had an arrogant personality but Neil was a very humble person. _ impressed a lot of folks the right way. Who does the blank refer to in the sentence?,Neil,Dennis
The cream was used in place of the filling for the cake for the wedding since the _ was expensive. What does the blank refer to in the sentence?,filling,cream
Maria came in to relieve Mary because _ was well rested to continue the game. Who does the blank refer to in the sentence?,Maria,Mary
The cat seemed to be aging faster than the dog. That's because the _ 's hair was gray. What does the blank refer to in the sentence?,cat,dog
The boyfriend gave much more attention to Leslie than to Donald so _ was satisfied. Who does the blank refer to in the sentence?,Leslie,Donald
The team needed a hit so coach called Craig up to bat next instead of Eric. _ is the rookie player. Who does the blank refer to in the sentence?,Eric,Craig
"Carrie had health insurance coverage while Angela did not, as _ had a really great job. Who does the blank refer to in the sentence?",Carrie,Angela
Rebecca is trusted by people a lot more than Samantha is because _ is a truthful person. Who does the blank refer to in the sentence?,Rebecca,Samantha
I saw a woman use techniques that worked better than my ideas because the _ were more difficult. What does the blank refer to in the sentence?,ideas,techniques
The woman had a harder time quitting smoking than she did quitting drinking. _ was a tougher vice for her to crack. What does the blank refer to in the sentence?,smoking,drinking
Kenneth always went to the store on the corner unlike Michael because _ loved that place. Who does the blank refer to in the sentence?,Kenneth,Michael
"Ben could go home early to go on his computer or phone. However, he went on the _ because the screen was more compact. What does the blank refer to in the sentence?",phone,computer
"Karen was positive about the answers on her math test, but confused about the essay. She was least confident about the _ . What does the blank refer to in the sentence?",essay,test
Matthew lived in a cardboard home but Steven lived in a brick home. _ had their home destroyed in the thunderstorm. Who does the blank refer to in the sentence?,Matthew,Steven
"Michael's best friend Joel suffers from a scary type of diabetes, so _ needs as much help as possible. Who does the blank refer to in the sentence?",Joel,Michael
"William asked Nick if he knows where is the nearest bus station, but _ didn't know. Who does the blank refer to in the sentence?",Nick,William
The movers tried to store the bed in the garage but the _ was too small. What does the blank refer to in the sentence?,garage,bed
Joel decided that Justin should choose which movie they watched because _ had no ideas. Who does the blank refer to in the sentence?,Joel,Justin
At dinner Felicia decided to pay for Elena's meal because _ had received a large bill today. Who does the blank refer to in the sentence?,Elena,Felicia
